Tier 1 Suppliers,Producer Name,Abbreviation Name,Region,Source
Cargill Cocoa and Chocolate,Societé Coopérative Agricole Gnamien Oble de Songan,SOCOOPAGOS COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2060
Ecom Agrotrade Ltd,Société Coopérative Agricole Espoir de Blolequin,SCAEB,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2061
Ecom Agrotrade Ltd,Société Coopérative Agricole de Nougbatchi,Coopanou,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2062
Ecom Agrotrade Ltd,Coopérative Agricole Toumtoumda du Haut Sassandra,COOPATHS - SCOOPS,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2063
Ecom Agrotrade Ltd,Coopérative Victoire de Meagui,COVIMEA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2064
Ecom Agrotrade Ltd,Entreprise Coopérative des Agriculteurs de Meagui,ECAFHS COOP CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2065
Ecom Agrotrade Ltd,Scoiété Coopérative Elié Tipka du Haut Sasandra,ECAM,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2066
Ecom Agrotrade Ltd,Société Coopérative Simplifiée Sabarykagni du Haut Sassandra,"SCAETHS
SCOOPS SAHS",,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2067
Olam International Limited,Coopérative Agricole Boribana de Hermankono Garo,CABOHGA COOP CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2068
Olam International Limited,Société Coopérative Agricole des Producteurs de Lobogrou,COOP-CA-CAPL,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2069
Olam International Limited,Société Coopérative Agricole de Guitry,COOP-CA-SOCOAGUI,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2070
Olam International Limited,Société Coopérative Agricole de Djimon,SCOOPADJI COOP CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2070
Olam International Limited,Société Coopérative Agricole de Soubré,SCASOU-COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2071
Olam International Limited,Société Coopérative Agricole de Jéromekro,SOCAJ COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2072
Olam International Limited,Société Coopérative des frères Unis de Watté,SCUW COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2073
Olam International Limited,Société Coopérative Agricole des Producteurs Agricoles de Cavally,SCOOPAC-COOP CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2074
Olam International Limited,Société Coopérative Solidarité de Mahino,SOCOSOM-COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2075
Olam International Limited,Société Coopérative Agricole de Neka-Cité,SOCANEK-COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2076
Olam International Limited,Société Coopérative Agricole de Amanikro,COOP-CA COOPAA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2077
Olam International Limited,Société Coopérative Nobielto de Bettié Avec Conseil d'Administration,COOP CA NOBIELTO,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2078
Olam International Limited,Société Coopérative Avec Conseil d'Administration Wende Waoga de Kahen,S.C.2W.K.COOP-CA,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2079
Olam International Limited,Société Coopérative Simplifiée d'Ananguié,SCOOP SCSAG,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2080
Olam International Limited,Société Coopérative Simplifiée Agricole Lafi Bébé de Man,SCOOP Lafi Bébé,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2081
Olam International Limited,Société Coopérative Agricole de Para Nigré,SCOOP SCOAPANI,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2082
Ofi,Coopérative Agricole Avec Conseil d'Administration Anouanzè d'Abongoua,CAAA,Abongoua,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Société Coopérative Agricole d’Abronamoue,CAABRO,Abengourou,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Société Coopérative Agricole Adzopé Nord,CAAN,Adzopé,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Cooperative Agricole de Bahe-Sebon,CABA,Bahe-Sebon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Bacon Espoir,CABES,Bâcon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Agricole Binkeleman de Gboguhe,CABG SCOOPS,Daloa,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Société Coopérative Agricole Binkadi de Guepahouo,CABING,Guépahouo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Agricole Boribana de Hermankono Garo,CABOHGA COOP CA,Hermakono Garo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Société Coopérative Agricole de Cefi,CAC,Dogbo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Agricole Djidjiya de Bloléquin,CADB,Bloléquin,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Agricole pour le Dévéloppement Durable d'Oussoukro,CADEDO,Meagui,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Agricole pour le Développement de Sassandra,CADESA,Adebem,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Société Coopérative Agricole Djiguiya de Teapleu,CADT,Téapleu,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,Coopérative Agricole Ekloéwou de Gbapleu,CAEG,Duékoué,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
