Tier 1 Suppliers,Producer Name,Abbreviation Name,Region,Source
Ecom Agrotrade Ltd,cooperative victoire de meagui,covimea,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2064
Ecom Agrotrade Ltd,entreprise cooperative des agriculteurs de meagui,ecafhs coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2065
Ecom Agrotrade Ltd,scoiete cooperative elie tipka du haut sasandra,ecam,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2066
Ecom Agrotrade Ltd,societe cooperative simplifiee sabarykagni du haut sassandra,"scaeths
scoops sahs",,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2067
Olam International Limited,cooperative agricole boribana de hermankono garo,cabohga coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2068
Olam International Limited,societe cooperative agricole des producteurs de lobogrou,coop-ca-capl,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2069
Olam International Limited,societe cooperative agricole de guitry,coop-ca-socoagui,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2070
Olam International Limited,societe cooperative agricole de djimon,scoopadji coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2070
Olam International Limited,societe cooperative agricole de soubre,scasou-coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2071
Olam International Limited,societe cooperative agricole de jeromekro,socaj coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2072
Olam International Limited,societe cooperative des freres unis de watte,scuw coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2073
Olam International Limited,societe cooperative agricole des producteurs agricoles de cavally,scoopac-coop ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2074
Olam International Limited,societe cooperative solidarite de mahino,socosom-coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2075
Olam International Limited,societe cooperative agricole de neka-cite,socanek-coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2076
Olam International Limited,societe cooperative agricole de amanikro,coop-ca coopaa,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2077
Olam International Limited,societe cooperative nobielto de bettie avec conseil d'administration,coop ca nobielto,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2078
Olam International Limited,societe cooperative avec conseil d'administration wende waoga de kahen,s.c.2w.k.coop-ca,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2079
Olam International Limited,societe cooperative simplifiee d'ananguie,scoop scsag,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2080
Olam International Limited,societe cooperative simplifiee agricole lafi bebe de man,scoop lafi bebe,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2081
Olam International Limited,societe cooperative agricole de para nigre,scoop scoapani,,MDLZ Cocoa Life Tier 1 and Tier 2 Suppliers - 2082
Ofi,cooperative agricole avec conseil d'administration anouanze d'abongoua,caaa,Abongoua,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole dabronamoue,caabro,Abengourou,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole adzope nord,caan,Adzopé,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole de bahe-sebon,caba,Bahe-Sebon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative bacon espoir,cabes,Bâcon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole binkeleman de gboguhe,cabg scoops,Daloa,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole binkadi de guepahouo,cabing,Guépahouo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole boribana de hermankono garo,cabohga coop ca,Hermakono Garo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole de cefi,cac,Dogbo,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole djidjiya de blolequin,cadb,Bloléquin,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole pour le developpement durable d'oussoukro,cadedo,Meagui,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole pour le developpement de sassandra,cadesa,Adebem,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole djiguiya de teapleu,cadt,Téapleu,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole ekloewou de gbapleu,caeg,Duékoué,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole entraide de kotobi,caek,Kotobi,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,cooperative agricole des freres unis de bonon,cafub,Bonon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
Ofi,societe cooperative agricole kangreta de bonon,cakb,Bonon,https://www.ofi.com/content/dam/olamofi/sustainability/sustainability-pdfs/COTE-D%27IVOIRE-ofi-sustainable-cocoa-suppliers-2022.pdf
